comments,cleaned_comments,score
The price does not justify the poor quality of this product,the price does not justify the poor quality of this product,-1
The Oster French Door Oven is a great kitchen appliance for the price – it cooks food evenly and is spacious for large meals.,the oster french door oven is a great kitchen appliance for the price it cooks food evenly and is spacious for large meals,1
"The PS5 is totally worth the price, I was surprised by how good it works for such a low cost.",the ps5 is totally worth the price i was surprised by how good it works for such a low cost,1
"I spent so much money on the latest Samsung Galaxy, but it’s honestly not worth it. The phone heats up, crashes often, and the battery life doesn’t last through the day. I feel like I could’ve gotten a much better phone for half the price. It’s frustrating how Samsung keeps increasing prices while offering no real improvements in performance. I regret buying this phone.",i spent so much money on the latest samsung galaxy but its honestly not worth it the phone heats up crashes often and the battery life doesnt last through the day i feel like i couldve gotten a much better phone for half the price its frustrating how samsung keeps increasing prices while offering no real improvements in performance i regret buying this phone,-1
Great performance for a price that’s really hard to beat.,great performance for a price thats really hard to beat,1
It is a great game to play in a group.,it is a great game to play in a group,0
The product doesn’t last long and is overpriced,the product doesnt last long and is overpriced,-1
The bag is large enough to hold clothes for a weekend or as a carry on for flights.,the bag is large enough to hold clothes for a weekend or as a carry on for flights,0
This is the definition of overpriced junk,this is the definition of overpriced junk,-1
The quality is poor and it doesn’t work properly,the quality is poor and it doesnt work properly,0
The picture box has taken my staging game up a notch and made my advertising look so professional and clear.,the picture box has taken my staging game up a notch and made my advertising look so professional and clear,0
The gold frames look like they are more expensive than they are.,the gold frames look like they are more expensive than they are,-1
"If you have regular size legs these are fine for you, but if you have larger calves than a 16 year old then you probably want to buy something else.",if you have regular size legs these are fine for you but if you have larger calves than a 16 year old then you probably want to buy something else,0
It’s awesome to find such a cheap and useful product.,its awesome to find such a cheap and useful product,1
"I bought these sandals for my husband to use during summer activities, and they've been great!",i bought these sandals for my husband to use during summer activities and theyve been great,0
My 5-year-old granddaughter loved this bright and glittery makeup set.,my 5yearold granddaughter loved this bright and glittery makeup set,0
The EcoClean Vacuum is definitely not worth what they’re charging,the ecoclean vacuum is definitely not worth what theyre charging,-1
"Doesn’t work as well as I thought, especially for the price.",doesnt work as well as i thought especially for the price,-1
"He loves them, had to go bigger for comfort, but it was a nice shoe.",he loves them had to go bigger for comfort but it was a nice shoe,0
The short story is that I was able to use the Silicon Power hard drive in my HP TouchSmart 600 all-in-one.,the short story is that i was able to use the silicon power hard drive in my hp touchsmart 600 allinone,0
"I’ve had this product for a while now, and it’s just not living up to the price. It’s too expensive for what you get, and the performance is underwhelming. I expected a lot more for the cost, but it just doesn’t deliver. I’m really disappointed with this purchase.",ive had this product for a while now and its just not living up to the price its too expensive for what you get and the performance is underwhelming i expected a lot more for the cost but it just doesnt deliver im really disappointed with this purchase,-1
Waste of money. The product is too slow to be useful.,waste of money the product is too slow to be useful,-1
The Ninja Blender is overpriced for the quality. It doesn’t blend as smoothly as expected.,the ninja blender is overpriced for the quality it doesnt blend as smoothly as expected,-1
"It's amazing, I've had it for 2 years and it keeps me warm and comfortable.",its amazing ive had it for 2 years and it keeps me warm and comfortable,0
This vacuum is too expensive for how poorly it works on hardwood floors. It doesn’t pick up dirt effectively at all.,this vacuum is too expensive for how poorly it works on hardwood floors it doesnt pick up dirt effectively at all,-1
The Nikon D3500 DSLR Camera is an unbeatable deal – it delivers great quality photos at an affordable price.,the nikon d3500 dslr camera is an unbeatable deal it delivers great quality photos at an affordable price,1
"I was expecting a high-quality product, but this is just not it. For the price, it should work much better. I’m really disappointed with my purchase.",i was expecting a highquality product but this is just not it for the price it should work much better im really disappointed with my purchase,-1
It protects my hair from iron heat.,it protects my hair from iron heat,0
"If you have neck problems and benefit from relaxed neck traction at night, this is great. I use a firm foam pillow with two humps normally, but for traveling, this does the job.",if you have neck problems and benefit from relaxed neck traction at night this is great i use a firm foam pillow with two humps normally but for traveling this does the job,0
It’s decent but nowhere near worth the price.,its decent but nowhere near worth the price,-1
"Waste of money, doesn’t work as expected.",waste of money doesnt work as expected,-1
Really like the scent of oil.,really like the scent of oil,0
The price point is excellent for this kind of product.,the price point is excellent for this kind of product,1
"I’m beyond frustrated with this purchase. I thought I was getting a top-tier product for the price, but instead, I got a cheap, poorly made item that barely works. The performance is so slow, and it never responds when I need it to. I’ve tried troubleshooting, but nothing seems to work. For the amount of money I spent, I should have received something much more reliable. I would not recommend this to anyone, and I can’t believe I wasted my money.",im beyond frustrated with this purchase i thought i was getting a toptier product for the price but instead i got a cheap poorly made item that barely works the performance is so slow and it never responds when i need it to ive tried troubleshooting but nothing seems to work for the amount of money i spent i should have received something much more reliable i would not recommend this to anyone and i cant believe i wasted my money,-1
This product is a great find – the price is so low for the quality and durability it provides.,this product is a great find the price is so low for the quality and durability it provides,1
"I don’t understand how Apple can charge so much for an iPhone that doesn’t really offer anything groundbreaking. The new iPhone feels like a minor update at best. The price is ridiculous for the limited upgrades it has. The battery life is still awful, and the camera isn’t a huge leap forward. I wish I had saved my money and gone with something cheaper.",i dont understand how apple can charge so much for an iphone that doesnt really offer anything groundbreaking the new iphone feels like a minor update at best the price is ridiculous for the limited upgrades it has the battery life is still awful and the camera isnt a huge leap forward i wish i had saved my money and gone with something cheaper,-1
The price is incredibly low for such a high-performing product – I’m thrilled with how well it works and the amazing value it offers.,the price is incredibly low for such a highperforming product im thrilled with how well it works and the amazing value it offers,1
The price is absurd compared to what this actually does,the price is absurd compared to what this actually does,-1
"Save your money, this product doesn’t work and is ridiculously overpriced",save your money this product doesnt work and is ridiculously overpriced,-1
Very slow and cheap. It doesn’t do what it promises.,very slow and cheap it doesnt do what it promises,0
This is one of the most overpriced things I’ve ever bought,this is one of the most overpriced things ive ever bought,-1
I bought this for my niece who is very active and it is still going strong almost a year later.,i bought this for my niece who is very active and it is still going strong almost a year later,0
The price is more than reasonable for the quality and durability of this product – it’s definitely worth every penny.,the price is more than reasonable for the quality and durability of this product its definitely worth every penny,1
It was fun to play it for our girl's night.,it was fun to play it for our girls night,0
"Not worth the cost at all. The product is slow, doesn’t work properly, and feels cheap. Save your money and find something better for less.",not worth the cost at all the product is slow doesnt work properly and feels cheap save your money and find something better for less,-1
Perfectly priced for everyday use.,perfectly priced for everyday use,1
"The price for this television is amazing, and the quality is far superior to many higher-priced options I’ve seen.",the price for this television is amazing and the quality is far superior to many higherpriced options ive seen,1
Overpriced and underwhelming. I’m very disappointed with this purchase,overpriced and underwhelming im very disappointed with this purchase,-1
My boss bought this for me and I love it!,my boss bought this for me and i love it,0
"Don't be fooled by other similar products on Amazon, this one is authentic.",dont be fooled by other similar products on amazon this one is authentic,0
I can’t believe how much you get for the price of the PS5 – smooth gameplay and stunning graphics.,i cant believe how much you get for the price of the ps5 smooth gameplay and stunning graphics,1
The price is right for this high-performing product – it’s a great purchase that I’m really satisfied with.,the price is right for this highperforming product its a great purchase that im really satisfied with,1
This is not worth even a fraction of the cost,this is not worth even a fraction of the cost,-1
This is an excellent product at an affordable price – very impressed.,this is an excellent product at an affordable price very impressed,1
The AODK 61-Inch L desk is perfect for both gaming and work because of its spacious design and built-in drawers.,the aodk 61inch l desk is perfect for both gaming and work because of its spacious design and builtin drawers,0
I’ll never buy anything from this brand again after this experience,ill never buy anything from this brand again after this experience,0
I had high hopes for the Samsung Galaxy S23 but it's slow and doesn’t perform as advertised.,i had high hopes for the samsung galaxy s23 but its slow and doesnt perform as advertised,0
"I just bought these boots and they're cute and comfortable, but I think a 6 would have been a better choice.",i just bought these boots and theyre cute and comfortable but i think a 6 would have been a better choice,0
"As a dedicated fitness enthusiast always on the lookout for stylish and functional activewear, stumbling upon BMJL Women's Running Shorts was like hitting the jackpot!",as a dedicated fitness enthusiast always on the lookout for stylish and functional activewear stumbling upon bmjl womens running shorts was like hitting the jackpot,0
"I bought the EMeet Webcam to improve video quality for calls, and its been great.",i bought the emeet webcam to improve video quality for calls and its been great,0
"This product doesn’t live up to its price tag. It’s not durable, and the performance is terrible. Save your money for something that works.",this product doesnt live up to its price tag its not durable and the performance is terrible save your money for something that works,-1
"For the low price, this washing machine provides great results and is energy-efficient, which makes it an even better value.",for the low price this washing machine provides great results and is energyefficient which makes it an even better value,1
"I’m extremely disappointed with this purchase. It’s so slow and doesn’t work as promised. For the price, it’s just not worth it. The quality is terrible, and I feel like I was scammed. It doesn’t perform even the most basic functions well, and the build feels cheap and fragile. I regret spending so much money on this. If you’re considering buying it, just don’t—there are much better options out there.",im extremely disappointed with this purchase its so slow and doesnt work as promised for the price its just not worth it the quality is terrible and i feel like i was scammed it doesnt perform even the most basic functions well and the build feels cheap and fragile i regret spending so much money on this if youre considering buying it just dontthere are much better options out there,-1
"I bought this one for someone else who liked mine, but I wish all card games were released in tins as they are more durable.",i bought this one for someone else who liked mine but i wish all card games were released in tins as they are more durable,0
"After reading all the bad reviews, I realized that the pillows needed to be put in the dryer.",after reading all the bad reviews i realized that the pillows needed to be put in the dryer,0
This washing machine is a great buy for the price – it offers excellent cleaning performance and is very energy efficient.,this washing machine is a great buy for the price it offers excellent cleaning performance and is very energy efficient,1
"Unbeatable price for a headset that performs well in every category, from sound quality to comfort.",unbeatable price for a headset that performs well in every category from sound quality to comfort,1
"These wireless headphones are so overpriced, and the battery life is awful. They only last a few hours, which makes them a huge waste of money.",these wireless headphones are so overpriced and the battery life is awful they only last a few hours which makes them a huge waste of money,-1
This laptop is too expensive for how poorly it runs and how often it freezes.,this laptop is too expensive for how poorly it runs and how often it freezes,-1
The product barely works and the price is far too high,the product barely works and the price is far too high,-1
The speaker is very sturdy and has good bass and clear high tones.,the speaker is very sturdy and has good bass and clear high tones,0
The XtremePro phone has so many issues and is ridiculously overpriced,the xtremepro phone has so many issues and is ridiculously overpriced,-1
The material feels cheap and uncomfortable.,the material feels cheap and uncomfortable,0
This is disappointing. The product is slow and doesn’t work right.,this is disappointing the product is slow and doesnt work right,0
It was very easy to assemble and the desk is very sturdy for the price.,it was very easy to assemble and the desk is very sturdy for the price,0
"This product is worth every cent of the price; it’s a high-quality item that performs exceptionally well, and the value for money is unmatched.",this product is worth every cent of the price its a highquality item that performs exceptionally well and the value for money is unmatched,1
"This is a good quality boot with a non skid sole, lightweight, comfortable and warm.",this is a good quality boot with a non skid sole lightweight comfortable and warm,0
"The device seems to work well, it's a good size, seems to be sturdy and allows multiple different connections, however I purchased this because I needed the ability to charge my device while also using my augmented reality glasses.",the device seems to work well its a good size seems to be sturdy and allows multiple different connections however i purchased this because i needed the ability to charge my device while also using my augmented reality glasses,0
I had no problems when testing it outside.,i had no problems when testing it outside,0
The most exciting thing is that my son is learning to read in a fun way.,the most exciting thing is that my son is learning to read in a fun way,0
I was surprised by how well it performs considering how low the price is.,i was surprised by how well it performs considering how low the price is,1
Everything was neatly packaged in the shipping boxes and the green screen was mounted to the wall.,everything was neatly packaged in the shipping boxes and the green screen was mounted to the wall,0
"I’m so disappointed in this product. It’s incredibly slow, unreliable, and freezes constantly. The quality is terrible, and I feel like I’ve been completely ripped off.",im so disappointed in this product its incredibly slow unreliable and freezes constantly the quality is terrible and i feel like ive been completely ripped off,0
"I needed a good pair of sneakers for rehabilitation after my knee replacement, and these fit the bill in every way.",i needed a good pair of sneakers for rehabilitation after my knee replacement and these fit the bill in every way,0
There is nothing wrong with a game that involves dueling burritos.,there is nothing wrong with a game that involves dueling burritos,0
The case design is solid and the lighters are pretty cool.,the case design is solid and the lighters are pretty cool,0
"It lacks object tracking, apart from the quick shots features, so you have to aim the camera manually.",it lacks object tracking apart from the quick shots features so you have to aim the camera manually,0
"I regret purchasing this product it’s ridiculously overpriced and doesn’t even work right the build quality is subpar, and it doesn’t function as expected the performance is sluggish, and I’ve had nothing but trouble with it since day one it’s frustrating, and it doesn’t even justify the price tag I paid I would have been better off buying something cheaper, and I definitely won’t buy from this brand again",i regret purchasing this product its ridiculously overpriced and doesnt even work right the build quality is subpar and it doesnt function as expected the performance is sluggish and ive had nothing but trouble with it since day one its frustrating and it doesnt even justify the price tag i paid i would have been better off buying something cheaper and i definitely wont buy from this brand again,-1
"I’m loving my Fitbit Versa 4, the price was fantastic for how well it helps me stay active.",im loving my fitbit versa 4 the price was fantastic for how well it helps me stay active,1
This is overpriced junk that’s not worth a penny,this is overpriced junk thats not worth a penny,-1
This washing machine is just not worth the money. It’s overpriced for how often it malfunctions and doesn’t clean clothes properly.,this washing machine is just not worth the money its overpriced for how often it malfunctions and doesnt clean clothes properly,-1
This tablet is ridiculously overpriced for its outdated software.,this tablet is ridiculously overpriced for its outdated software,-1
"Extremely disappointed, the price is way too high for a product that is far from impressive.",extremely disappointed the price is way too high for a product that is far from impressive,-1
"I needed a desk for my work from home job and my puzzle hobby, and this is just what I need.",i needed a desk for my work from home job and my puzzle hobby and this is just what i need,0
"The product is way overpriced for the performance it offers. It’s not as durable as I expected, and it’s definitely not worth the money.",the product is way overpriced for the performance it offers its not as durable as i expected and its definitely not worth the money,-1
The Apple Magic Mouse is way overpriced for something that doesn’t perform any better than a basic mouse.,the apple magic mouse is way overpriced for something that doesnt perform any better than a basic mouse,-1
"I love that the bag has enough space for everything I need for the gym, and it's waterproof so I can use it at the lake and pool.",i love that the bag has enough space for everything i need for the gym and its waterproof so i can use it at the lake and pool,0
I found the black shoes with black soles to be comfortable and light weight.,i found the black shoes with black soles to be comfortable and light weight,0
This coffee maker is overpriced for how slow it brews and how inconsistent the coffee tastes.,this coffee maker is overpriced for how slow it brews and how inconsistent the coffee tastes,-1
The product is slow and constantly freezes. I wish I could return it.,the product is slow and constantly freezes i wish i could return it,0
"I had a pair of the original recovery sandals, which were in a flip flop style, but they were not as good as they could have been.",i had a pair of the original recovery sandals which were in a flip flop style but they were not as good as they could have been,0
"Fantastic deal, couldn’t have asked for better.",fantastic deal couldnt have asked for better,1
This is overpriced junk doesn’t even work well,this is overpriced junk doesnt even work well,-1
"I use this product in my handmade bath and body business to make bath bombs, body oils, sprays, and salt scrubs/soaks.",i use this product in my handmade bath and body business to make bath bombs body oils sprays and salt scrubssoaks,0
The Canon EOS Rebel T7 is too expensive for an entry-level DSLR. There are much better options at a lower price.,the canon eos rebel t7 is too expensive for an entrylevel dslr there are much better options at a lower price,-1
This is just not worth the price at all. The product doesn’t work well and is made of cheap materials.,this is just not worth the price at all the product doesnt work well and is made of cheap materials,-1
The price of the XtremePro phone is completely unjustified,the price of the xtremepro phone is completely unjustified,-1
It was a great gift.,it was a great gift,0
"Not bad for the price, the PS5 is a beast when it comes to games and graphics.",not bad for the price the ps5 is a beast when it comes to games and graphics,1
This smartphone is way overpriced for its outdated technology and poor performance.,this smartphone is way overpriced for its outdated technology and poor performance,-1
The price is so affordable for the quality this product delivers – it’s definitely one of the best purchases I’ve made.,the price is so affordable for the quality this product delivers its definitely one of the best purchases ive made,1
I need a shoe that has stretch on the top portion of the shoe to accommodate my foot.,i need a shoe that has stretch on the top portion of the shoe to accommodate my foot,0
I’m so impressed with how affordable this wristwatch is – it looks so much more expensive than it actually is!,im so impressed with how affordable this wristwatch is it looks so much more expensive than it actually is,1
It takes a cute picture but you have to have good lighting.,it takes a cute picture but you have to have good lighting,0
"The Oculus Quest 2 is an incredible product at such an affordable price – the VR experience is immersive, and the setup is simple.",the oculus quest 2 is an incredible product at such an affordable price the vr experience is immersive and the setup is simple,1
Very bad quality. It’s slow and doesn’t perform well at all.,very bad quality its slow and doesnt perform well at all,0
It works perfectly with multiple ports.,it works perfectly with multiple ports,0
"I didn’t expect the PS5 to be this affordable, but it’s def worth the money.",i didnt expect the ps5 to be this affordable but its def worth the money,1
"The plastic box is poor and can't be dismantled, but the 4 yo girls were fascinated by it.",the plastic box is poor and cant be dismantled but the 4 yo girls were fascinated by it,0
I expected much more for what I paid.,i expected much more for what i paid,-1
This is a rip-off overpriced and underperforming,this is a ripoff overpriced and underperforming,-1
"This PS5 is a total value, the graphics and speed make it the best choice.",this ps5 is a total value the graphics and speed make it the best choice,0
I have been looking at this preserve for a while and it was on sale at Sam's club and it was cheaper here.,i have been looking at this preserve for a while and it was on sale at sams club and it was cheaper here,1
"I’m beyond happy with this wristwatch – it’s affordable, stylish, and works perfectly for my everyday needs.",im beyond happy with this wristwatch its affordable stylish and works perfectly for my everyday needs,1
The price doesn’t match the quality or performance of this vacuum,the price doesnt match the quality or performance of this vacuum,-1
This pack was a life saver for his past training he used it for over a week and worked.,this pack was a life saver for his past training he used it for over a week and worked,0
"The Fitbit Sense is way overpriced. It doesn’t offer much over the cheaper models, and the battery doesn’t last as long.",the fitbit sense is way overpriced it doesnt offer much over the cheaper models and the battery doesnt last as long,-1
"The GoPro Hero 8 Black is overrated. It’s too expensive for the quality of the videos, and it’s not as durable as it claims.",the gopro hero 8 black is overrated its too expensive for the quality of the videos and its not as durable as it claims,-1
"The draw string is long and hangs out the bottom of the shorts, which I don't like.",the draw string is long and hangs out the bottom of the shorts which i dont like,0
"For this high price, I expected a much better experience with this microwave.",for this high price i expected a much better experience with this microwave,-1
"Vomgomfom Travel Duffle Bag is a spacious and affordable option, but with potential shortcomings.",vomgomfom travel duffle bag is a spacious and affordable option but with potential shortcomings,1
"They fit like a dream, are comfortable and the quality is top notch.",they fit like a dream are comfortable and the quality is top notch,0
My family will be sending me pictures of her as she opens them.,my family will be sending me pictures of her as she opens them,0
The color is nice and I'd personally say they're easy to blend.,the color is nice and id personally say theyre easy to blend,0
"They frames themselves look nicer than they actually are, I guess for the price, it might be worth it, 4 of 5 stars.",they frames themselves look nicer than they actually are i guess for the price it might be worth it 4 of 5 stars,1
The price of this television is ridiculous for the low-quality picture and terrible sound.,the price of this television is ridiculous for the lowquality picture and terrible sound,-1
"I usually wear a 10 in all my sandals and size up to 11 in these, they fit perfect.",i usually wear a 10 in all my sandals and size up to 11 in these they fit perfect,0
"The other pair is more comfortable, but still more of a shoe.",the other pair is more comfortable but still more of a shoe,0
This product is completely useless. It’s slow and doesn't do anything right.,this product is completely useless its slow and doesnt do anything right,0
"I expected a much better product for the price. The performance is weak, and it doesn’t last long.",i expected a much better product for the price the performance is weak and it doesnt last long,-1
"I was expecting a lot more for the price. It’s slow, unreliable, and the quality is terrible.",i was expecting a lot more for the price its slow unreliable and the quality is terrible,-1
"I couldn’t be more satisfied with this wristwatch – the price is great, and the timekeeping is flawless.",i couldnt be more satisfied with this wristwatch the price is great and the timekeeping is flawless,1
"The set includes a wide range of high-quality art supplies, including colored pencils, watercolor paints, oil pastels, and more. The set includes a wide range of high-quality art supplies, including colored pencils, watercolor paints, oil pastels, and more.",the set includes a wide range of highquality art supplies including colored pencils watercolor paints oil pastels and more the set includes a wide range of highquality art supplies including colored pencils watercolor paints oil pastels and more,0
I love the quality of these slides and can dress them up or down.,i love the quality of these slides and can dress them up or down,0
"I can’t believe how much I spent on this product for it to be such a waste of money it doesn’t work like it’s supposed to, and I’ve encountered nothing but issues with it from day one the quality is very poor, and it’s ridiculously slow it doesn’t justify the price at all I’ve tried all the troubleshooting methods and contacted customer service, but nothing seems to work it’s definitely not worth the money don’t make the same mistake I did",i cant believe how much i spent on this product for it to be such a waste of money it doesnt work like its supposed to and ive encountered nothing but issues with it from day one the quality is very poor and its ridiculously slow it doesnt justify the price at all ive tried all the troubleshooting methods and contacted customer service but nothing seems to work its definitely not worth the money dont make the same mistake i did,-1
"Definitely not worth the price. It doesn’t work well, and the build quality is awful. I’ll never buy from this brand again.",definitely not worth the price it doesnt work well and the build quality is awful ill never buy from this brand again,-1
"The picture that my new QLED 4K QN85D Series Neo Quantum 55"" TV is quite brilliant despite the amount of ambient light.",the picture that my new qled 4k qn85d series neo quantum 55 tv is quite brilliant despite the amount of ambient light,0
"There is a 4K Sony Sensor Webcam, 2k 1440p QHD,1080p FHD, and 720 HD, as well as an auto focus with crystal clear.",there is a 4k sony sensor webcam 2k 1440p qhd1080p fhd and 720 hd as well as an auto focus with crystal clear,0
"The Logitech MX Master 3 mouse is an excellent deal for the price – it’s comfortable, precise, and perfect for work or gaming.",the logitech mx master 3 mouse is an excellent deal for the price its comfortable precise and perfect for work or gaming,1
The quality is awful and the price is ridiculous,the quality is awful and the price is ridiculous,-1
"This product is a complete disappointment. I don’t know how they justify the price when the product is so slow and unreliable. The quality is terrible, and I feel like I got scammed. I’ve tried using it several times, but it’s always sluggish and freezes constantly. I’ve never been this dissatisfied with a purchase. Don’t waste your time or money on this—it’s not worth it at all.",this product is a complete disappointment i dont know how they justify the price when the product is so slow and unreliable the quality is terrible and i feel like i got scammed ive tried using it several times but its always sluggish and freezes constantly ive never been this dissatisfied with a purchase dont waste your time or money on thisits not worth it at all,-1
Paying this much for this is highway robbery,paying this much for this is highway robbery,-1
This printer is way too expensive for how often it jams and struggles to print clearly. It’s not worth the premium price tag.,this printer is way too expensive for how often it jams and struggles to print clearly its not worth the premium price tag,-1
"I've been using the Amazon Echo Show 5 for a few weeks now, and I'm very impressed with its performance.",ive been using the amazon echo show 5 for a few weeks now and im very impressed with its performance,0
I have been wearing these since I received them.,i have been wearing these since i received them,0
I can’t believe I bought this overpriced and useless product,i cant believe i bought this overpriced and useless product,-1
Paying this much for this product is an insult,paying this much for this product is an insult,-1
"This wristwatch delivers exceptional quality for the price – it’s stylish, durable, and perfect for everyday wear.",this wristwatch delivers exceptional quality for the price its stylish durable and perfect for everyday wear,1
The fabric is not good.,the fabric is not good,0
I was expecting a better material for the price.,i was expecting a better material for the price,-1
The price for this wristwatch is unbeatable for the level of precision and design it provides – it’s an amazing deal.,the price for this wristwatch is unbeatable for the level of precision and design it provides its an amazing deal,1
"The white light is easy to use and comfortable to wear. I was excited for the red light, but it turned out to be a disappointment.",the white light is easy to use and comfortable to wear i was excited for the red light but it turned out to be a disappointment,0
The HP Envy x360 Laptop is overpriced for how short the battery life is and how slow it runs.,the hp envy x360 laptop is overpriced for how short the battery life is and how slow it runs,-1
"Good socks are hard to find, but they are soft, comfortable and not too thin.",good socks are hard to find but they are soft comfortable and not too thin,0
I like how smooth and light they feel in my hand.,i like how smooth and light they feel in my hand,0
I wouldn’t buy this again it’s overpriced and doesn’t work,i wouldnt buy this again its overpriced and doesnt work,-1
"For the price, I was expecting something that could handle tougher ingredients, but it’s useless",for the price i was expecting something that could handle tougher ingredients but its useless,-1
The cost is ridiculously high for such poor performance,the cost is ridiculously high for such poor performance,-1
"It works fast, screen bigger.",it works fast screen bigger,0
"The more we play, the more frustrating this set is because the pieces fall apart very easily if you're not great at creating a stable creation.",the more we play the more frustrating this set is because the pieces fall apart very easily if youre not great at creating a stable creation,0
The lather is good and comfortable.,the lather is good and comfortable,0
The product is disappointing. It’s slow and unreliable.,the product is disappointing its slow and unreliable,0
"For the price of this phone, I was expecting much better features",for the price of this phone i was expecting much better features,-1
The dimensions are as described. I plan to use it for a 5 day trip and so far am able to fit the necessities for that long of a trip.,the dimensions are as described i plan to use it for a 5 day trip and so far am able to fit the necessities for that long of a trip,0
I put the pillows in the dryer for 15 minutes and they turned into soft clouds.,i put the pillows in the dryer for 15 minutes and they turned into soft clouds,0
The quality of the material is disappointing.,the quality of the material is disappointing,0
"I regret buying this, it’s overpriced and doesn’t last long",i regret buying this its overpriced and doesnt last long,-1
"Outstanding performance at an unbeatable price, this headset is the perfect option for any budget.",outstanding performance at an unbeatable price this headset is the perfect option for any budget,1
"The duffel is very large, but lighter than you would think, it does not have a frame along the bottom to the wheels, so if you are packing it lightly, you won't be able to roll it well.",the duffel is very large but lighter than you would think it does not have a frame along the bottom to the wheels so if you are packing it lightly you wont be able to roll it well,0
"It's easy to assemble, it's user-friendly, and the size is right for my products, absolutely nothing to complain about.",its easy to assemble its userfriendly and the size is right for my products absolutely nothing to complain about,0
The price of this home security system is ridiculous for its limited features.,the price of this home security system is ridiculous for its limited features,-1
The headlamps illuminate the area well and are bright.,the headlamps illuminate the area well and are bright,0
This refrigerator is way overpriced for how small it is and how inefficient the cooling is.,this refrigerator is way overpriced for how small it is and how inefficient the cooling is,-1
"My granddaughters love this doll, it's perfect for toddlers.",my granddaughters love this doll its perfect for toddlers,0
Fantastic quality at a great price – couldn’t ask for more.,fantastic quality at a great price couldnt ask for more,1
The Samsung Q80T 4K UHD TV is too expensive for how inconsistent the picture quality is across different content.,the samsung q80t 4k uhd tv is too expensive for how inconsistent the picture quality is across different content,-1
"The set didn't come with a bag which was a shame, I already had one here and was grateful it wasn't a gift.",the set didnt come with a bag which was a shame i already had one here and was grateful it wasnt a gift,0
This hair dryer is ridiculously overpriced for how ineffective it is at drying hair quickly.,this hair dryer is ridiculously overpriced for how ineffective it is at drying hair quickly,-1
"I spent too much on this washing machine, and it’s so slow. The cycles take forever to finish, and it doesn’t clean well.",i spent too much on this washing machine and its so slow the cycles take forever to finish and it doesnt clean well,-1
It is a gift for a friend.,it is a gift for a friend,0
This product is a fantastic deal at this price – highly recommend.,this product is a fantastic deal at this price highly recommend,1
The price is unbeatable for what you get – highly satisfied.,the price is unbeatable for what you get highly satisfied,1
I can’t believe how affordable this product is considering how well it performs – it’s an unbelievable deal.,i cant believe how affordable this product is considering how well it performs its an unbelievable deal,1
The price for this washing machine is unbeatable for how well it works – it’s a great deal.,the price for this washing machine is unbeatable for how well it works its a great deal,1
Terrible quality and overpriced save your money,terrible quality and overpriced save your money,-1
For the price this is a joke it doesn’t even work,for the price this is a joke it doesnt even work,-1
"This product is such a letdown. The price is ridiculously high for what you actually get. It doesn’t perform well, and the build quality is cheap.",this product is such a letdown the price is ridiculously high for what you actually get it doesnt perform well and the build quality is cheap,-1
"The shorts are connected so they are not as flowy as the lulu ones, but still cute.",the shorts are connected so they are not as flowy as the lulu ones but still cute,0
"It was smaller than expected and the handle broke, so it was definitely not worth the money, but the company took the time to reach out to me over the issue with my purchase, and then they offered to give me a full refund.",it was smaller than expected and the handle broke so it was definitely not worth the money but the company took the time to reach out to me over the issue with my purchase and then they offered to give me a full refund,-1
The XtremePro phone is nothing special and cost way too much,the xtremepro phone is nothing special and cost way too much,-1
My kids have been busy creating.,my kids have been busy creating,0
This is an incredible bargain for the quality – so happy with my purchase.,this is an incredible bargain for the quality so happy with my purchase,1
"It turns out great every time, it's simple to use, no technique or skill needed.",it turns out great every time its simple to use no technique or skill needed,0
"This air fryer is far too overpriced for how unevenly it cooks food. Some parts get overcooked, while others remain raw.",this air fryer is far too overpriced for how unevenly it cooks food some parts get overcooked while others remain raw,-1
I can’t believe how well this TV works for such a low price – it delivers a premium viewing experience without the high price tag.,i cant believe how well this tv works for such a low price it delivers a premium viewing experience without the high price tag,1
"I regret buying this. It’s slow, cheap, and unreliable.",i regret buying this its slow cheap and unreliable,-1
The arm that holds the picture up right was so weak that it pointed more to the ceiling than it did to you.,the arm that holds the picture up right was so weak that it pointed more to the ceiling than it did to you,0
This is a complete waste of money. The product is way too slow and poorly made.,this is a complete waste of money the product is way too slow and poorly made,0
This product is awful. It’s way too slow and doesn’t work right.,this product is awful its way too slow and doesnt work right,0
The only pros for this pillow are the fact that it is made out of material that is very pleasant to the touch and the memory foam.,the only pros for this pillow are the fact that it is made out of material that is very pleasant to the touch and the memory foam,0
The Canon EOS M50 Mark II is overpriced for the poor autofocus and slow shooting speed.,the canon eos m50 mark ii is overpriced for the poor autofocus and slow shooting speed,-1
"I can’t believe how well this product works for such a low price – it’s an incredible value, and I’m so glad I purchased it.",i cant believe how well this product works for such a low price its an incredible value and im so glad i purchased it,1
The price of this blender is way too high for its basic functionality.,the price of this blender is way too high for its basic functionality,-1
The frames look sleek and are affordable.,the frames look sleek and are affordable,1
I bought these as a cheaper alternative to brand name wool socks and they lasted well for the price.,i bought these as a cheaper alternative to brand name wool socks and they lasted well for the price,1
I use it for backpacking and it works well.,i use it for backpacking and it works well,0
I used them for 5 days in a row and they were great.,i used them for 5 days in a row and they were great,0
This pair of headphones is overpriced for the sound quality it offers.,this pair of headphones is overpriced for the sound quality it offers,-1
